interest_technology,interest_social,interest_design,interest_health,interest_business,interest_data,creativity,logical_reasoning,communication,empathy,leadership,numerical_skill,visual_thinking,organization,practical_learning,theoretical_learning,teamwork_preference,autonomy_preference,work_environment,preferred_modality,academic_area_label
4,3,1,3,4,4,2,5,2,1,2,4,3,2,4,2,3,4,mixto,virtual,ingenieria-de-sistemas
5,2,1,3,2,5,1,5,1,1,2,4,2,3,4,3,2,5,oficina,virtual,ingenieria-de-sistemas
5,2,2,2,3,3,2,4,1,1,2,4,2,3,3,3,2,5,mixto,mixta,ingenieria-de-sistemas
4,2,3,1,1,4,2,5,2,1,2,5,3,3,4,2,3,4,mixto,mixta,ingenieria-de-sistemas
5,3,2,3,3,5,3,5,2,2,2,4,2,2,4,3,3,3,mixto,mixta,ingenieria-de-sistemas
4,2,2,2,2,4,2,5,2,2,2,5,2,4,4,2,2,4,oficina,mixta,ingenieria-de-sistemas
5,2,2,2,2,5,2,4,3,2,1,4,1,3,3,3,3,5,oficina,mixta,ingenieria-de-sistemas
5,3,2,2,2,3,3,4,2,2,2,4,2,3,4,4,2,3,oficina,virtual,ingenieria-de-sistemas
3,2,3,2,1,3,2,4,2,1,2,4,1,3,4,3,3,5,mixto,virtual,ingenieria-de-sistemas
5,2,2,2,3,5,4,4,3,2,2,4,2,2,4,3,3,4,oficina,mixta,ingenieria-de-sistemas
5,2,2,2,3,2,2,5,2,3,3,2,2,2,4,3,2,3,oficina,mixta,ingenieria-de-sistemas
4,2,2,3,2,5,2,5,2,2,2,3,2,3,4,2,3,4,mixto,virtual,ingenieria-de-sistemas
5,2,2,2,3,4,3,5,2,1,3,4,2,3,4,2,2,5,mixto,virtual,ingenieria-de-sistemas
5,2,2,2,3,4,2,5,3,2,2,5,2,3,5,3,2,3,oficina,mixta,ingenieria-de-sistemas
5,2,2,3,2,5,1,5,2,1,1,4,2,2,4,4,2,4,oficina,virtual,ingenieria-de-sistemas
5,2,2,3,4,5,3,5,3,3,2,4,2,4,5,3,2,5,oficina,virtual,ingenieria-de-sistemas
5,3,1,3,1,4,3,5,2,1,1,4,2,3,4,4,2,4,oficina,mixta,ingenieria-de-sistemas
5,2,3,2,3,4,2,5,3,1,1,4,2,3,4,3,2,4,oficina,virtual,ingenieria-de-sistemas
5,2,2,1,2,4,4,4,2,2,1,5,2,2,4,3,2,3,mixto,virtual,ingenieria-de-sistemas
4,3,3,2,3,5,3,5,1,1,2,5,2,3,4,3,2,2,oficina,mixta,ingenieria-de-sistemas
5,3,2,3,2,4,2,5,3,2,3,5,2,4,3,4,2,4,oficina,mixta,ingenieria-de-sistemas
5,2,1,3,3,3,2,5,2,2,2,4,2,3,5,4,2,4,mixto,virtual,ingenieria-de-sistemas
5,3,2,2,3,5,1,4,2,2,1,4,4,2,3,3,2,3,oficina,mixta,ingenieria-de-sistemas
4,2,3,1,2,4,3,5,1,3,3,4,2,2,4,3,2,3,oficina,virtual,ingenieria-de-sistemas
4,3,3,3,4,4,2,5,2,3,2,4,2,3,4,3,2,4,oficina,mixta,ingenieria-de-sistemas
3,2,2,1,3,4,3,5,1,2,1,3,2,3,5,2,3,4,mixto,mixta,ingenieria-de-sistemas
5,3,1,3,3,5,3,4,3,2,2,5,2,4,3,4,2,5,oficina,mixta,ingenieria-de-sistemas
5,2,3,2,2,4,3,5,3,2,2,3,1,4,4,3,1,5,oficina,virtual,ingenieria-de-sistemas
4,3,2,2,3,3,4,5,3,1,3,5,2,3,3,3,1,4,mixto,virtual,ingenieria-de-sistemas
4,2,3,2,2,4,2,4,2,1,2,4,2,3,5,3,1,4,mixto,mixta,ingenieria-de-sistemas
5,2,2,3,3,4,1,4,3,1,2,4,1,3,4,4,2,3,oficina,mixta,ingenieria-de-sistemas
5,2,3,2,3,4,2,5,1,1,2,5,2,3,4,3,2,3,mixto,virtual,ingenieria-de-sistemas
5,2,3,1,2,3,2,3,2,2,2,5,1,2,4,2,3,3,oficina,mixta,ingenieria-de-sistemas
5,2,2,3,2,4,3,5,2,2,3,5,2,2,4,3,2,4,oficina,virtual,ingenieria-de-sistemas
3,3,1,3,2,4,1,4,2,3,2,4,1,3,5,3,1,4,mixto,mixta,ingenieria-de-sistemas
4,2,1,2,1,4,2,5,2,1,3,4,2,2,5,3,2,4,mixto,mixta,ingenieria-de-sistemas
4,3,2,3,2,4,2,5,3,2,1,2,1,3,5,3,1,4,mixto,mixta,ingenieria-de-sistemas
5,3,2,2,2,4,2,5,2,1,1,4,3,2,4,4,2,3,mixto,virtual,ingenieria-de-sistemas
4,3,3,1,3,4,2,4,1,3,2,3,2,3,3,2,3,4,oficina,virtual,ingenieria-de-sistemas
4,2,2,1,3,4,2,5,2,2,3,3,2,3,4,3,3,3,mixto,virtual,ingenieria-de-sistemas
5,2,2,2,2,5,2,5,1,2,2,4,1,2,5,4,2,4,mixto,virtual,ingenieria-de-sistemas
4,2,2,3,2,4,2,4,2,2,2,4,2,3,4,3,1,4,mixto,mixta,ingenieria-de-sistemas
4,3,2,1,3,3,3,5,2,2,2,5,2,4,3,3,2,5,oficina,virtual,ingenieria-de-sistemas
5,2,2,1,3,4,2,4,2,2,2,4,2,3,4,3,3,3,oficina,mixta,ingenieria-de-sistemas
4,1,2,3,2,5,1,4,1,2,2,5,2,3,3,3,1,3,oficina,mixta,ingenieria-de-sistemas
5,2,1,2,2,4,4,5,3,2,2,4,2,3,4,3,2,4,oficina,virtual,ingenieria-de-sistemas
5,3,1,3,1,4,3,5,2,3,2,5,2,3,4,3,2,4,mixto,virtual,ingenieria-de-sistemas
5,2,2,1,3,4,1,4,1,2,3,4,2,3,3,2,2,4,oficina,mixta,ingenieria-de-sistemas
5,2,3,2,2,3,2,5,2,1,3,3,3,4,5,3,3,4,oficina,mixta,ingenieria-de-sistemas
5,1,3,2,2,3,2,4,3,2,2,4,1,3,3,3,1,5,mixto,mixta,ingenieria-de-sistemas
5,3,2,3,2,3,2,4,2,2,1,4,2,3,4,4,2,4,oficina,mixta,ingenieria-de-sistemas
5,2,3,3,2,4,2,5,2,2,2,4,3,4,4,3,2,5,oficina,virtual,ingenieria-de-sistemas
5,3,2,2,2,5,2,5,2,1,2,3,3,3,4,2,3,3,mixto,mixta,ingenieria-de-sistemas
5,3,3,3,2,4,2,4,2,2,2,4,2,3,4,2,2,4,oficina,mixta,ingenieria-de-sistemas
5,2,2,2,3,3,3,4,2,1,2,4,2,3,4,4,2,4,mixto,virtual,ingenieria-de-sistemas
5,2,2,2,2,4,2,3,2,1,3,5,2,2,4,3,3,5,mixto,virtual,ingenieria-de-sistemas
5,2,3,3,3,4,1,5,3,1,3,4,2,3,4,3,2,5,oficina,virtual,ingenieria-de-sistemas
5,3,2,3,3,5,2,5,2,3,2,5,2,3,4,3,2,4,oficina,mixta,ingenieria-de-sistemas
5,3,3,2,1,5,1,5,2,2,2,4,2,2,4,4,4,3,mixto,virtual,ingenieria-de-sistemas
5,3,3,2,2,3,1,5,1,2,3,3,2,3,4,4,3,4,oficina,mixta,ingenieria-de-sistemas
5,2,2,3,1,4,3,5,1,1,3,4,1,3,5,3,2,4,oficina,virtual,ingenieria-de-sistemas
5,1,2,2,3,5,1,5,2,2,2,4,1,4,3,4,2,3,mixto,mixta,ingenieria-de-sistemas
5,2,3,2,2,4,2,5,2,1,2,4,3,2,3,2,3,3,mixto,mixta,ingenieria-de-sistemas
5,2,3,3,2,4,2,5,2,2,2,4,2,4,5,3,2,5,mixto,virtual,ingenieria-de-sistemas
5,4,2,1,2,5,3,5,2,3,3,4,3,3,5,3,2,3,mixto,virtual,ingenieria-de-sistemas
5,2,1,3,3,4,2,5,3,1,3,4,2,4,4,3,1,4,mixto,mixta,ingenieria-de-sistemas
4,2,2,1,2,4,1,5,1,1,2,4,3,4,4,3,2,4,mixto,virtual,ingenieria-de-sistemas
5,2,3,2,2,3,3,5,1,1,3,4,4,4,4,3,2,5,oficina,mixta,ingenieria-de-sistemas
5,1,1,3,2,5,1,4,3,3,2,4,2,3,3,3,2,4,mixto,virtual,ingenieria-de-sistemas
5,3,2,3,2,4,2,4,1,2,2,4,4,3,3,3,2,4,oficina,virtual,ingenieria-de-sistemas
4,2,2,2,3,4,2,4,2,2,3,4,1,4,3,2,3,3,mixto,mixta,ingenieria-de-sistemas
4,3,2,2,2,4,1,5,3,1,2,4,1,3,5,2,3,4,mixto,mixta,ingenieria-de-sistemas
4,2,2,2,3,3,1,5,2,2,2,5,2,4,4,3,2,4,oficina,mixta,ingenieria-de-sistemas
5,3,1,3,2,4,3,5,1,3,3,4,2,5,4,3,3,4,mixto,virtual,ingenieria-de-sistemas
5,3,2,2,2,5,2,5,2,1,2,3,3,2,4,4,3,3,mixto,virtual,ingenieria-de-sistemas
5,2,2,2,2,3,3,5,2,3,2,5,2,2,4,3,3,4,oficina,virtual,ingenieria-de-sistemas
5,3,3,3,2,3,2,4,2,3,2,4,3,2,5,2,2,3,mixto,mixta,ingenieria-de-sistemas
5,1,2,2,1,4,1,5,1,3,2,3,3,3,4,3,2,4,oficina,virtual,ingenieria-de-sistemas
5,3,2,1,3,5,2,4,2,3,1,5,2,3,4,2,2,4,mixto,mixta,ingenieria-de-sistemas
5,1,2,2,3,5,3,5,1,1,3,4,2,4,3,3,2,4,oficina,mixta,ingenieria-de-sistemas
5,2,2,3,1,4,2,4,2,2,3,4,4,3,5,3,2,5,mixto,mixta,ingenieria-de-sistemas
4,2,3,2,3,4,3,5,2,2,2,3,4,4,4,3,3,5,mixto,mixta,ingenieria-de-sistemas
4,2,2,3,2,4,1,5,3,2,2,4,3,3,4,2,2,4,oficina,virtual,ingenieria-de-sistemas
5,2,2,3,3,5,3,5,1,3,2,4,1,3,4,3,2,5,oficina,mixta,ingenieria-de-sistemas
5,3,3,2,2,4,1,5,3,2,2,3,2,4,3,4,2,4,oficina,mixta,ingenieria-de-sistemas
4,3,3,2,2,4,2,5,2,2,3,4,3,3,4,3,2,4,mixto,mixta,ingenieria-de-sistemas
5,2,2,2,2,4,3,5,4,2,2,3,2,3,4,3,3,3,oficina,virtual,ingenieria-de-sistemas
5,2,3,3,3,4,2,5,1,1,1,3,3,2,4,3,1,4,oficina,virtual,ingenieria-de-sistemas
5,1,1,2,2,4,2,5,3,2,3,4,2,3,4,3,2,3,mixto,mixta,ingenieria-de-sistemas
5,4,3,3,2,5,1,5,2,2,2,5,1,2,5,2,3,4,mixto,mixta,ingenieria-de-sistemas
5,1,3,2,3,4,1,3,2,2,2,4,2,3,3,4,2,4,mixto,virtual,ingenieria-de-sistemas
5,3,1,2,2,4,3,5,3,3,3,4,3,3,4,3,2,4,oficina,virtual,ingenieria-de-sistemas
5,3,3,3,2,5,2,5,2,2,3,4,2,3,4,3,1,4,mixto,virtual,ingenieria-de-sistemas
5,2,2,2,3,5,1,4,2,2,3,4,2,1,4,3,2,3,mixto,mixta,ingenieria-de-sistemas
5,2,3,1,2,4,2,5,1,2,1,4,2,3,4,3,2,4,oficina,virtual,ingenieria-de-sistemas
5,2,2,3,3,3,2,4,3,2,3,4,3,3,3,3,3,4,mixto,mixta,ingenieria-de-sistemas
5,2,3,2,4,5,2,5,2,3,1,4,2,3,4,4,2,4,oficina,virtual,ingenieria-de-sistemas
4,1,3,3,3,5,2,5,2,1,3,3,1,3,5,3,4,3,oficina,mixta,ingenieria-de-sistemas
5,2,2,3,3,5,3,5,2,3,2,4,1,3,5,3,3,3,mixto,mixta,ingenieria-de-sistemas
5,3,2,3,1,4,3,4,2,2,2,3,3,3,5,3,1,5,oficina,mixta,ingenieria-de-sistemas
5,2,3,2,2,4,2,5,1,2,3,4,2,3,3,3,3,4,oficina,virtual,ingenieria-de-sistemas
5,3,1,3,3,4,3,5,3,3,1,3,2,3,3,3,4,4,oficina,virtual,ingenieria-de-sistemas
5,4,2,2,1,4,3,4,2,2,2,5,1,4,4,3,3,4,mixto,mixta,ingenieria-de-sistemas
5,2,4,2,2,4,3,5,2,3,2,4,1,2,5,3,1,5,mixto,mixta,ingenieria-de-sistemas
5,3,3,2,2,4,2,5,2,2,2,3,2,2,5,2,1,4,oficina,virtual,ingenieria-de-sistemas
4,2,2,2,2,4,2,4,2,2,2,4,1,2,4,3,2,4,mixto,mixta,ingenieria-de-sistemas
5,3,2,2,2,4,3,5,2,3,2,4,3,5,4,3,2,4,oficina,mixta,ingenieria-de-sistemas
4,1,2,1,3,4,2,4,3,3,3,4,2,3,4,3,2,4,oficina,mixta,ingenieria-de-sistemas
5,3,2,1,2,4,3,5,1,2,2,4,2,3,5,3,3,4,mixto,mixta,ingenieria-de-sistemas
5,3,2,2,2,4,2,5,2,2,2,5,2,3,5,4,2,4,oficina,mixta,ingenieria-de-sistemas
5,2,2,1,2,2,2,5,1,2,3,5,2,4,3,3,2,4,oficina,mixta,ingenieria-de-sistemas
4,1,2,2,2,3,3,5,3,2,1,3,3,3,3,3,2,4,mixto,virtual,ingenieria-de-sistemas
4,2,2,2,2,4,1,4,3,4,3,5,1,2,3,2,3,3,oficina,mixta,ingenieria-de-sistemas
5,1,2,2,2,4,2,5,3,2,3,4,3,3,5,3,2,4,oficina,mixta,ingenieria-de-sistemas
5,3,3,2,3,5,2,5,2,1,2,4,2,3,3,2,2,3,oficina,virtual,ingenieria-de-sistemas
4,2,3,2,2,4,2,4,2,2,2,4,1,3,4,3,2,5,oficina,virtual,ingenieria-de-sistemas
5,3,2,4,3,4,2,5,2,2,2,4,3,2,3,2,3,3,mixto,mixta,ingenieria-de-sistemas
5,1,2,3,3,4,2,5,2,3,2,5,2,3,4,3,2,4,oficina,virtual,ingenieria-de-sistemas
3,2,2,3,2,4,2,5,3,2,2,4,2,4,5,3,1,4,mixto,mixta,ingenieria-de-sistemas
5,2,3,4,2,2,1,5,2,1,3,5,2,3,4,3,3,4,oficina,virtual,ingenieria-de-sistemas
4,3,2,2,2,4,2,5,2,2,3,4,2,2,4,3,2,5,mixto,mixta,ingenieria-de-sistemas
4,2,3,2,1,4,3,5,2,2,2,3,3,2,4,3,1,5,mixto,mixta,ingenieria-de-sistemas
5,2,2,2,2,5,1,5,1,2,1,3,2,4,3,3,2,3,oficina,mixta,ingenieria-de-sistemas
5,3,4,3,2,5,3,5,3,2,2,5,2,2,4,3,3,4,oficina,mixta,ingenieria-de-sistemas
5,3,2,3,3,5,2,5,1,3,2,4,2,3,3,2,2,5,mixto,virtual,ingenieria-de-sistemas
5,2,3,2,3,4,2,4,3,2,2,5,1,1,5,3,2,4,mixto,virtual,ingenieria-de-sistemas
5,2,2,1,2,5,2,5,2,2,3,2,2,3,4,3,2,4,oficina,virtual,ingenieria-de-sistemas
4,2,4,2,2,4,2,5,2,2,3,4,1,3,3,4,3,4,mixto,virtual,ingenieria-de-sistemas
4,1,2,3,2,5,2,5,1,3,3,4,2,3,4,2,2,4,mixto,mixta,ingenieria-de-sistemas
4,1,2,2,1,3,2,5,2,2,2,4,3,3,3,2,3,4,mixto,virtual,ingenieria-de-sistemas
4,3,2,2,2,4,3,4,2,1,2,4,3,3,3,3,3,3,oficina,mixta,ingenieria-de-sistemas
5,3,3,2,3,3,2,5,2,2,2,4,1,5,4,3,2,4,mixto,mixta,ingenieria-de-sistemas
5,2,3,3,2,4,4,5,2,2,3,4,2,3,4,4,3,3,oficina,mixta,ingenieria-de-sistemas
5,2,2,2,1,4,1,5,2,2,3,5,3,3,4,4,2,5,mixto,virtual,ingenieria-de-sistemas
4,2,2,2,3,4,2,5,1,3,3,4,3,2,3,3,2,4,oficina,mixta,ingenieria-de-sistemas
5,3,2,2,2,4,3,5,2,1,1,4,2,4,4,3,2,5,mixto,virtual,ingenieria-de-sistemas
5,3,2,3,2,4,2,5,2,2,1,5,3,3,4,3,3,4,mixto,mixta,ingenieria-de-sistemas
5,1,2,2,3,4,2,5,1,2,2,4,3,2,3,2,3,3,oficina,virtual,ingenieria-de-sistemas
5,2,2,2,3,4,3,4,2,2,2,4,2,4,3,3,2,5,mixto,mixta,ingenieria-de-software
5,3,3,3,2,4,2,5,2,2,3,3,3,3,4,4,2,5,oficina,mixta,ingenieria-de-software
5,2,3,2,3,3,3,5,1,1,3,5,2,5,4,4,2,5,oficina,mixta,ingenieria-de-software
5,2,3,2,2,4,2,5,1,3,1,4,2,4,4,3,2,4,mixto,mixta,ingenieria-de-software
5,1,3,2,2,2,2,5,2,2,2,4,3,4,4,3,1,4,mixto,mixta,ingenieria-de-software
5,2,2,2,1,4,2,5,2,2,1,4,2,5,4,3,3,5,mixto,mixta,ingenieria-de-software
5,2,2,2,2,3,3,4,1,1,2,3,3,3,3,3,2,5,mixto,mixta,ingenieria-de-software
5,2,2,1,1,4,3,5,2,1,2,3,2,4,4,4,3,4,oficina,mixta,ingenieria-de-software
5,2,1,2,1,5,2,5,1,2,3,5,2,4,3,3,2,4,mixto,virtual,ingenieria-de-software
5,2,2,1,2,3,2,5,1,1,2,4,2,5,4,5,1,5,mixto,virtual,ingenieria-de-software
5,2,3,3,3,5,3,5,2,1,2,4,3,4,5,5,2,4,mixto,virtual,ingenieria-de-software
3,2,1,3,2,4,3,5,2,1,2,4,1,4,5,4,1,5,mixto,mixta,ingenieria-de-software
5,2,2,2,2,4,1,5,3,1,2,3,2,3,4,3,2,5,oficina,virtual,ingenieria-de-software
5,2,2,2,2,5,3,5,1,2,2,5,1,3,4,3,1,4,mixto,virtual,ingenieria-de-software
4,1,1,3,3,5,2,4,2,3,3,4,2,4,4,3,2,5,oficina,mixta,ingenieria-de-software
5,3,2,3,2,4,2,5,4,1,2,3,2,4,4,4,2,5,mixto,virtual,ingenieria-de-software
5,3,3,2,2,4,3,5,2,3,2,3,2,4,4,4,3,5,mixto,virtual,ingenieria-de-software
5,2,2,2,1,4,2,4,1,2,3,5,1,4,4,5,2,5,mixto,mixta,ingenieria-de-software
5,1,2,1,3,5,2,4,1,2,3,4,3,4,4,4,4,5,oficina,virtual,ingenieria-de-software
5,2,2,2,3,3,3,4,2,2,1,4,2,3,4,4,1,5,mixto,virtual,ingenieria-de-software
5,3,3,3,3,4,3,4,3,3,2,4,2,4,4,5,2,5,oficina,virtual,ingenieria-de-software
5,4,3,2,2,3,3,5,3,2,1,3,1,3,4,4,3,5,oficina,virtual,ingenieria-de-software
5,1,2,2,2,5,1,5,2,1,2,5,2,4,4,4,3,5,mixto,mixta,ingenieria-de-software
4,3,3,2,2,4,3,4,2,2,2,4,3,5,5,3,2,5,oficina,mixta,ingenieria-de-software
5,3,3,2,3,4,2,5,2,2,2,3,2,4,5,3,3,5,mixto,virtual,ingenieria-de-software
5,3,2,2,3,5,3,5,2,1,2,4,2,4,5,5,2,4,oficina,virtual,ingenieria-de-software
4,1,1,2,2,4,2,5,2,3,2,5,1,4,5,5,1,4,mixto,virtual,ingenieria-de-software
5,3,1,2,2,4,2,5,2,1,4,4,2,3,4,4,2,5,mixto,mixta,ingenieria-de-software
5,2,2,2,3,5,2,5,2,1,3,5,3,4,4,4,2,5,mixto,virtual,ingenieria-de-software
5,3,2,3,2,4,3,5,2,2,2,4,2,4,4,3,2,4,oficina,mixta,ingenieria-de-software
5,1,2,2,2,3,1,5,2,2,2,4,3,4,4,4,2,5,oficina,mixta,ingenieria-de-software
5,2,1,3,1,4,2,5,4,2,3,4,3,4,4,3,2,5,mixto,mixta,ingenieria-de-software
5,3,3,1,2,3,3,5,2,2,3,4,2,4,5,4,2,4,mixto,virtual,ingenieria-de-software
5,2,2,2,2,4,2,5,2,4,2,5,1,4,4,4,3,5,oficina,virtual,ingenieria-de-software
5,1,2,3,2,3,3,5,1,2,1,5,2,5,3,3,2,4,mixto,mixta,ingenieria-de-software
5,3,3,2,2,4,2,5,2,2,2,4,2,4,4,4,2,4,oficina,virtual,ingenieria-de-software
5,3,2,2,2,3,3,5,3,2,3,5,2,4,4,3,2,5,oficina,mixta,ingenieria-de-software
5,3,1,2,4,5,2,4,1,2,3,3,3,4,5,4,2,5,oficina,virtual,ingenieria-de-software
4,3,3,3,3,4,3,5,2,2,2,2,2,5,4,4,2,5,mixto,mixta,ingenieria-de-software
5,2,2,3,3,4,3,4,3,1,2,4,2,5,5,4,2,5,mixto,virtual,ingenieria-de-software
5,2,2,2,2,4,3,5,2,2,2,4,2,4,4,4,3,4,mixto,virtual,ingenieria-de-software
5,3,4,2,2,5,2,5,3,2,1,5,2,5,4,4,2,5,oficina,mixta,ingenieria-de-software
5,2,3,2,3,4,3,4,3,2,2,5,2,4,4,5,2,5,mixto,virtual,ingenieria-de-software
5,3,3,2,3,4,2,5,3,3,3,5,2,4,4,3,2,5,oficina,virtual,ingenieria-de-software
5,2,3,2,2,4,2,5,2,2,4,4,1,3,3,3,3,5,mixto,virtual,ingenieria-de-software
5,3,1,3,1,4,2,4,2,2,3,5,2,4,5,5,3,4,oficina,mixta,ingenieria-de-software
5,2,2,2,3,4,2,4,2,3,2,5,2,4,4,3,2,4,oficina,mixta,ingenieria-de-software
4,2,2,3,3,5,3,5,2,2,2,4,3,3,4,4,2,4,mixto,virtual,ingenieria-de-software
5,1,2,3,3,4,2,5,2,2,2,4,4,4,4,3,3,5,oficina,virtual,ingenieria-de-software
3,2,3,2,2,5,3,4,1,1,3,5,2,3,3,3,2,5,oficina,virtual,ingenieria-de-software
5,3,3,2,2,4,2,5,2,2,3,5,3,5,4,4,2,5,mixto,virtual,ingenieria-de-software
4,1,1,2,2,4,3,5,2,3,1,3,3,3,4,5,2,5,mixto,virtual,ingenieria-de-software
5,2,2,2,1,4,2,5,3,1,3,4,1,4,2,4,2,5,oficina,virtual,ingenieria-de-software
5,3,2,2,2,3,1,5,2,3,2,4,1,4,5,4,2,5,mixto,virtual,ingenieria-de-software
5,2,2,1,3,4,3,5,2,2,3,4,3,4,4,4,3,5,mixto,mixta,ingenieria-de-software
5,2,3,2,2,4,1,5,2,1,2,5,3,4,4,5,2,4,oficina,virtual,ingenieria-de-software
5,3,2,2,2,3,2,5,3,1,2,5,3,4,3,4,3,4,oficina,mixta,ingenieria-de-software
5,2,3,2,2,5,1,4,3,2,2,4,2,5,4,4,4,5,oficina,virtual,ingenieria-de-software
5,3,1,2,2,3,2,5,1,3,3,4,3,4,3,4,1,4,mixto,mixta,ingenieria-de-software
5,3,2,2,2,5,2,4,2,2,3,3,2,5,4,5,2,5,oficina,mixta,ingenieria-de-software
5,3,2,2,2,4,3,5,2,1,3,3,2,3,4,5,2,4,mixto,mixta,ingenieria-de-software
5,2,2,1,2,4,2,5,2,2,2,5,2,3,5,4,3,4,mixto,virtual,ingenieria-de-software
5,2,3,3,3,4,3,5,3,3,2,4,3,4,4,4,3,5,mixto,mixta,ingenieria-de-software
5,2,1,3,2,4,3,5,2,3,2,4,2,4,4,4,2,5,oficina,virtual,ingenieria-de-software
5,2,2,1,2,4,2,5,2,2,4,4,2,3,3,3,2,4,oficina,mixta,ingenieria-de-software
5,3,3,2,3,3,2,5,3,1,2,4,3,5,4,4,1,5,oficina,mixta,ingenieria-de-software
5,1,2,2,2,3,3,5,2,1,2,5,3,5,3,4,3,5,oficina,mixta,ingenieria-de-software
5,1,2,2,2,3,2,5,1,2,2,5,3,4,4,4,2,5,mixto,virtual,ingenieria-de-software
5,2,1,1,2,4,3,5,2,2,3,4,2,4,4,4,2,4,oficina,mixta,ingenieria-de-software
5,3,3,3,2,4,2,5,2,2,2,5,1,3,5,5,1,3,oficina,virtual,ingenieria-de-software
5,3,2,2,2,3,1,5,1,2,2,3,3,5,5,4,1,5,oficina,mixta,ingenieria-de-software
4,2,2,2,3,3,3,4,3,2,2,4,2,4,3,4,2,5,mixto,virtual,ingenieria-de-software
4,1,3,2,3,5,3,5,2,2,3,4,3,4,4,4,1,5,mixto,virtual,ingenieria-de-software
5,2,3,2,1,4,3,5,3,3,3,3,2,5,3,4,1,4,mixto,mixta,ingenieria-de-software
5,3,2,1,1,5,1,5,3,2,2,4,2,4,4,5,1,5,oficina,mixta,ingenieria-de-software
4,2,2,2,2,4,2,5,2,3,2,5,3,3,4,4,1,5,mixto,virtual,ingenieria-de-software
5,2,3,2,2,4,2,5,2,2,3,3,2,5,4,4,2,5,oficina,mixta,ingenieria-de-software
4,2,3,2,2,4,3,5,1,2,2,3,2,4,3,5,2,5,oficina,mixta,ingenieria-de-software
5,1,2,3,2,4,2,5,2,1,2,3,3,5,3,4,1,5,mixto,virtual,ingenieria-de-software
5,2,2,1,3,5,2,5,2,2,2,5,2,4,5,5,2,5,mixto,virtual,ingenieria-de-software
5,3,2,2,1,3,2,5,2,1,3,4,4,5,3,5,1,5,oficina,virtual,ingenieria-de-software
5,1,3,2,1,4,2,5,2,2,3,3,2,3,4,4,2,4,oficina,mixta,ingenieria-de-software
5,2,3,3,2,4,2,5,2,3,2,3,3,4,3,5,2,4,oficina,virtual,ingenieria-de-software
5,2,2,3,3,4,3,5,2,2,3,5,1,4,5,3,2,5,mixto,mixta,ingenieria-de-software
4,2,3,1,3,3,2,5,2,2,2,4,3,4,5,3,3,5,mixto,mixta,ingenieria-de-software
